"index","Symbol","Name","Stock Exchange","RBICS Economy","Closing Price","Market Value","Sales","date"
"0","APWC","Asia Pacific Wire & Cable Corp.","NASDAQ","Industrials","4.17","57.62802","313.564","2021-06-30"
"1","BBBY","Bed Bath & Beyond Inc.","NASDAQ","Consumer Cyclicals","28.93","3084.882","9233.028","2021-06-30"
"2","BYRN","Byrna Technologies Inc.","NASDAQ","Industrials","22.72","470.1446","25.31071","2021-06-30"
"3","FC","Franklin Covey Co.","NYSE","Consumer Non-Cyclicals","32.69","462.4206","182.585","2021-06-30"
"4","GIS","General Mills, Inc.","NYSE","Consumer Non-Cyclicals","59.63","36372.59","18626.4","2021-06-30"
"5","MU","Micron Technology, Inc.","NASDAQ","Technology","82.03","91989.71","23503.0","2021-06-30"
"6","PKE","Park Aerospace Corp.","NYSE","Industrials","15.36","313.081","46.276","2021-06-30"
"7","SCHN","Schnitzer Steel Industries, Inc. Class A","NASDAQ","Non-Energy Materials","48.57","1333.957","1959.495","2021-06-30"
"8","STZ","Constellation Brands, Inc. Class A","NYSE","Consumer Non-Cyclicals","228.6","44079.23","8613.5","2021-06-30"
"9","SYTA","Siyata Mobile Inc.","NASDAQ","Technology","7.96","37.12011","8.951286","2021-06-30"
"10","UNF","UniFirst Corporation","NYSE","Business Services","235.51","4274.792","1770.678","2021-06-30"
