,Unnamed: 0,Symbol,Name,Stock Exchange,RBICS Economy,Closing Price,Market Value,Sales,website_ir
0,0,A,"Agilent Technologies, Inc.",NYSE,Healthcare,113.8,33992.98,6527.0,http://www.investor.agilent.com/overview/default.aspx
1,1,AA,Alcoa Corporation,NYSE,Non-Energy Materials,48.9,9019.541,12930.0,http://investors.alcoa.com/home/default.aspx
2,2,AAC,Ares Acquisition Corp. Class A,NYSE,Finance,9.825,1228.125,0.0,https://www.ares-ir.com/corporate-profile/default.aspx
3,3,AACG,ATA Creativity Global Sponsored ADR,NASDAQ,Consumer Non-Cyclicals,1.05,32.94576,32.18933,http://ir.atai.net.cn/
4,4,AACI,Armada Acquisition Corp. I,NASDAQ,Finance,9.84,203.7815,,https://armadaacq.com/secfilings/
5,5,AADI,"Aadi Biosciences, Inc.",NASDAQ,Healthcare,12.5,261.7747,3.427,https://ir.aadibio.com/
6,6,AAIC,Arlington Asset Investment Corp. Class A,NYSE,Finance,3.04,90.17403,38.673,http://www.arlingtonasset.com/corporate-profile
7,7,AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,13.1,8508.646,34773.0,http://americanairlines.gcs-web.com
8,8,AAMC,Altisource Asset Management Corp.,NYSE AMERICAN,Finance,11.06,22.79921,0.909,http://ir.altisourceamc.com
9,9,AAME,Atlantic American Corporation,NASDAQ,Finance,3.04,62.02687,202.087,https://atlam.gcs-web.com/financial-information/annual-reports
10,10,AAN,Aaron's Company Inc,NYSE,Consumer Cyclicals,15.32,470.4589,1820.532,http://www.investor.aarons.com/overview/default.aspx
11,11,AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,1.98,54.71548,214.106,http://investors.ao-inc.com/
12,12,AAON,"AAON, Inc.",NASDAQ,Industrials,50.93,2702.915,601.5,http://www.aaon.com/Investors
13,13,AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,174.66,10591.35,11041.83,https://ir.advanceautoparts.com/investors/overview/default.aspx
14,14,AAPL,Apple Inc.,NASDAQ,Technology,135.35,2190664.0,385599.0,http://investor.apple.com/investor-relations/default.aspx
15,15,AAQC,Accelerate Acquisition Corp. Class A,NYSE,Finance,9.765,488.25,0.0,http://www.xlr8ac.com/sec-filings
16,16,AAT,"American Assets Trust, Inc.",NYSE,Finance,29.24,1769.664,393.312,http://ir.americanassetstrust.com/investor-overview
17,17,AATC,Autoscope Technologies Corporation,NASDAQ,Industrials,5.4999,29.65264,13.015,
18,18,AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,62.42,1759.643,4206.685,http://www.atlasair.com/holdings/investor-information.html
19,19,AB,AllianceBernstein Holding L.P.,NYSE,Finance,41.01,4088.47,0.0,http://www.alliancebernstein.com/corporate/en/investor-relations.html
20,20,ABBV,"AbbVie, Inc.",NYSE,Healthcare,147.56,260754.8,56725.0,http://investors.abbvie.com
21,21,ABC,AmerisourceBergen Corporation,NYSE,Healthcare,145.02,30376.48,229666.4,https://investor.amerisourcebergen.com/overview/default.aspx
22,22,ABCB,Ameris Bancorp,NASDAQ,Finance,40.99,2846.173,1114.52,http://ir.amerisbank.com/
